Product ID,Brand,Product Name,Current Stock Qty,Unit Cost,Last Restock Date
P0224,BRAND_C,145/70 R 12 BY-801,15,2766.0,2026-01-20
P0222,BRAND_C,145/80 R 12 BY-801,364,2876.0,2026-01-20
P0258,BRAND_C,155/65 R 13 BY-801,191,2976.0,2026-01-20
P0228,BRAND_C,145/80 R 13 BY-801,26,3067.0,2025-12-22
P0168,BRAND_A,145/80 R 13 TR203,167,3245.0,2025-06-16
P0260,BRAND_C,155/65 R 14 BY-801,161,3281.0,2026-01-20
P0246,BRAND_C,155 R 12 C / 8PR BY-05,167,3333.0,2026-01-20
P0226,BRAND_C,165/70 R 12 BY-801,4,3334.0,2026-01-20
P0230,BRAND_C,155/80 R 13 BY-801,58,3421.0,2026-01-20
P0186,BRAND_A,155/65 R 14 TR203,38,3435.0,2025-06-16
P0266,BRAND_C,165/65 R 14 BY-801,35,3554.0,2026-01-20
P0164,BRAND_A,165/60 R 14 TR23,18,3712.0,2025-06-16
P0238,BRAND_C,165/70 R 14 BY-801,35,3713.0,2026-01-20
P0232,BRAND_C,175/70 R 13 BY-801,77,3717.0,2025-12-22
P0262,BRAND_C,175/65 R 14 BY-801,16,3780.0,2025-12-22
P0205,BRAND_A,165/50 R 16 TR23A,46,3833.0,2024-04-25
P0194,BRAND_A,165/55 R 14 TR23A,42,3843.0,2024-10-31
P0190,BRAND_A,165/65 R 14 TR203,13,3849.0,2024-10-31
P0196,BRAND_A,165/55 R 14 TR203,12,3851.0,2025-06-16
P0207,BRAND_A,145 R 12C / 8PR TR06,79,3862.0,2025-06-16
P0355,BRAND_B,155/65 R 13 HB608,8,3863.0,2023-02-23
P0333,BRAND_B,155/70 R 12 WL HB608,38,3870.0,2023-03-24
P0341,BRAND_B,155/70 R 13 H986,2,3896.0,2023-12-14
P0188,BRAND_A,165/65 R 14 TR23,3,3898.0,2023-09-18
P0234,BRAND_C,175/70 R 14 BY-801,62,3921.0,2025-11-06
P0335,BRAND_B,145/80 R 13 H986,68,3942.0,2024-05-17
P0173,BRAND_A,165/70 R 14 TR203,70,3946.0,2025-06-16
P0204,BRAND_A,165/60 R 15 TR203,8,3970.0,2025-06-16
P0236,BRAND_C,185/70 R 13 BY-801,40,4065.0,2026-01-20
P0393,BRAND_B,145 R 12 C / 8PR S-888,117,4091.0,2023-02-23
P0248,BRAND_C,165 R 13 C / 8PR BY-06,326,4246.0,2025-10-25
P0357,BRAND_B,155/65 R 14 HB608,265,4264.0,2024-05-17
P0192,BRAND_A,175/65 R 14 TR203,51,4270.0,2025-06-16
P0343,BRAND_B,165/70 R 13 H986,99,4273.0,2023-02-23
P0395,BRAND_B,155 R 12 C / 8PR S-888,192,4302.0,2022-01-27
P0264,BRAND_C,175/65 R 15 BY-801,43,4352.0,2025-12-22
P0175,BRAND_A,175/70 R 14 TR203,25,4361.0,2024-10-31
P0171,BRAND_A,185/70 R 13 TR203,30,4445.0,2024-10-31
P0337,BRAND_B,155/80 R 13 H986,99,4512.0,2022-01-27
P0240,BRAND_C,185/70 R 14 BY-801,47,4513.0,2025-10-26
P0036,BRAND_A,175/55 R 15 TR210,60,4534.0,2024-07-24
P0347,BRAND_B,165/70 R 14 HB608,216,4595.0,2024-05-17
P0242,BRAND_C,185/65 R 15 BY-801,75,4613.0,2026-01-20
P0197,BRAND_A,175/65 R 15 TR203,255,4623.0,2024-04-25
P0371,BRAND_B,165/55 R 15 HB-2,2,4677.0,2024-05-17
