Date,Brand,Product ID,Product Name,Units Sold,Unit Price,Revenue,Transaction Type,Price Level
2024-04-08,BRAND_A,P0102,215/70 R 16 TR28 OWL,4,15124.0,60496.0,Sale,A
2024-04-08,BRAND_A,P0144,33 x 12.5 R 15/ 6PR OWL TR28,1,19658.0,19658.0,Sale,X
2024-04-08,BRAND_A,P0207,145 R 12C / 8PR TR06,2,7068.0,14136.0,Sale,A
2024-04-08,BRAND_B,P0378,195/55 R 16 HB-2,2,5158.0,10315.0,Sale,A
2024-04-08,BRAND_B,P0382,225/55 R 16 HB-2,4,16209.0,64836.0,Sale,A
2024-04-08,BRAND_B,P0431,215/70 R 16 OWL HB-8,4,15124.0,60496.0,Sale,A
2024-04-08,BRAND_B,P0435,235/75 R 15 / 6PR OWL HB-6,2,20469.0,40938.0,Sale,A
2024-04-08,BRAND_C,P0230,155/80 R 13 BY-801,4,6259.0,25034.0,Sale,A
2024-04-08,BRAND_C,P0329,1000 R 20/18 PR LO105 (SET),6,39000.0,234000.0,Sale,A
2024-04-09,BRAND_A,P0110,255/70 R 16 TR28,2,22903.0,45805.0,Sale,A
2024-04-09,BRAND_D,P0001,1000 R 20/18 PR CT23 (SET),2,47480.0,94960.0,Sale,A
2024-04-09,BRAND_C,P0252,195 R 14 C / 8PR BY-05,4,10705.0,42818.0,Sale,A
2024-04-09,BRAND_C,P0286,215/65 R 16 BY-HT987,4,12419.0,49674.0,Sale,A
2024-04-09,BRAND_C,P0320,225/55 R 18 BY-HP987,2,13752.0,27504.0,Sale,A
2024-04-10,BRAND_A,P0084,215/55 R 17 TR201,1,14657.0,14657.0,Sale,A
2024-04-10,BRAND_A,P0144,33 x 12.5 R 15/ 6PR OWL TR28,4,30628.0,122512.0,Sale,A
2024-04-10,BRAND_A,P0162,235/55 R 19 TR50,2,10894.0,21788.0,Sale,X
2024-04-10,BRAND_B,P0371,165/55 R 15 HB-2,3,9170.0,27508.0,Sale,A
2024-04-10,BRAND_C,P0264,175/65 R 15 BY-801,2,5110.0,10220.0,Sale,X
2024-04-10,BRAND_C,P0286,215/65 R 16 BY-HT987,4,12419.0,49674.0,Sale,A
2024-04-11,BRAND_C,P0230,155/80 R 13 BY-801,1,5946.0,5946.0,Sale,A
2024-04-15,BRAND_A,P0095,265/65 R 17 TR28,2,21052.0,42104.0,Sale,A
2024-04-17,BRAND_A,P0068,225/50 R 17 TR30,1,14934.0,14934.0,Sale,A
2024-04-17,BRAND_A,P0199,185/65 R 15 TR203,4,4946.0,19782.0,Sale,X
2024-04-17,BRAND_A,P0201,195/65 R 15 TR203,4,5224.0,20894.0,Sale,X
2024-04-17,BRAND_C,P0268,205/65 R 15 BY-801,4,5668.0,22671.0,Sale,X
2024-04-17,BRAND_C,P0310,225/60 R 17 BY-HT987,4,7317.0,29268.0,Sale,X
2024-04-18,BRAND_A,P0124,215/45 R 17 TR30,4,6123.0,24491.0,Sale,X
2024-04-19,BRAND_A,P0087,225/65 R 17 TR30,4,7405.0,29620.0,Sale,X
2024-04-20,BRAND_A,P0043,195/55 R 16 TR30,4,5500.0,22000.0,Sale,X
2024-04-20,BRAND_A,P0087,225/65 R 17 TR30,4,7405.0,29620.0,Sale,X
2024-04-20,BRAND_A,P0124,215/45 R 17 TR30,4,6123.0,24491.0,Sale,X
2024-04-20,BRAND_A,P0156,225/55 R 18 TR50,4,8555.0,34220.0,Sale,X
2024-04-20,BRAND_C,P0312,225/65 R 17 BY-HT987,4,7746.0,30984.0,Sale,X
2024-04-22,BRAND_A,P0050,195/50 R 16 TR30,4,10944.0,43776.0,Sale,A
2024-04-22,BRAND_A,P0059,205/60 R 16 TR201,2,12806.0,25612.0,Sale,A
2024-04-22,BRAND_A,P0209,195/75 R 16C / 10PR TR06,5,15506.0,77532.0,Sale,A
2024-04-22,BRAND_D,P0001,1000 R 20/18 PR CT23 (SET),4,47480.0,189920.0,Sale,A
2024-04-24,BRAND_A,P0043,195/55 R 16 TR30,4,5500.0,22000.0,Sale,X
2024-04-24,BRAND_A,P0154,235/60 R 18 TR50,1,19494.0,19494.0,Sale,A
2024-04-24,BRAND_A,P0164,165/60 R 14 TR23,4,9178.0,36712.0,Sale,A
2024-04-24,BRAND_A,P0173,165/70 R 14 TR203,2,7458.0,14916.0,Sale,A
